offense,hfa,defense,ppa
Texas A&M,1.0,Ole Miss,1.0032885442166979
Texas A&M,1.0,Ole Miss,-0.1686350677656265
Texas A&M,1.0,Ole Miss,0.226550545412613
Texas A&M,1.0,Ole Miss,-0.345126391301053
Ole Miss,-1.0,Texas A&M,0.8350381090299867
Ole Miss,-1.0,Texas A&M,0.9661037733749698
Ole Miss,-1.0,Texas A&M,-2.3750785033903092
Ole Miss,-1.0,Texas A&M,-0.4669455205972959
Ole Miss,-1.0,Texas A&M,-0.17913112344092585
Texas A&M,1.0,Ole Miss,1.485615880323306
Texas A&M,1.0,Ole Miss,-0.8867433222723466
Texas A&M,1.0,Ole Miss,-0.3274972567492602
Ole Miss,-1.0,Texas A&M,-0.45260367932203766
Ole Miss,-1.0,Texas A&M,2.987071390908895
Ole Miss,-1.0,Texas A&M,-0.7942209074247197
Ole Miss,-1.0,Texas A&M,-1.082436343843854
Ole Miss,-1.0,Texas A&M,2.483218498489368
Ole Miss,-1.0,Texas A&M,0.0581859137045412
Ole Miss,-1.0,Texas A&M,-0.029486254339333
Ole Miss,-1.0,Texas A&M,-0.032812768141937
Ole Miss,-1.0,Texas A&M,-0.571673614749029
Ole Miss,-1.0,Texas A&M,-3.718404596121241
Texas A&M,1.0,Ole Miss,2.564931045399912
Texas A&M,1.0,Ole Miss,0.6828475779964196
Texas A&M,1.0,Ole Miss,-0.2817600859254661
Texas A&M,1.0,Ole Miss,-0.1605057650489794
Ole Miss,-1.0,Texas A&M,-0.4136553890915255
Ole Miss,-1.0,Texas A&M,-0.8990343603036663
Ole Miss,-1.0,Texas A&M,-0.4234617536644026
Texas A&M,1.0,Ole Miss,1.0292677916497874
Texas A&M,1.0,Ole Miss,-0.4062307312880424
Texas A&M,1.0,Ole Miss,-1.016195411893133
Ole Miss,-1.0,Texas A&M,-0.14561440438218298
Ole Miss,-1.0,Texas A&M,-0.11187057483455742
Ole Miss,-1.0,Texas A&M,0.870600617663194
Ole Miss,-1.0,Texas A&M,-0.6840321413406637
Ole Miss,-1.0,Texas A&M,-1.0302301559913971
Ole Miss,-1.0,Texas A&M,2.944006523779816
Ole Miss,-1.0,Texas A&M,-1.015195614654532
Ole Miss,-1.0,Texas A&M,0.555243928658703
Ole Miss,-1.0,Texas A&M,1.588074445632671
Texas A&M,1.0,Ole Miss,-1.2919000756688384
Texas A&M,1.0,Ole Miss,0.8612480847860534
Texas A&M,1.0,Ole Miss,-0.434971591812305
Ole Miss,-1.0,Texas A&M,-0.03931026581467823
Texas A&M,1.0,Ole Miss,-1.1949447420126127
Ole Miss,-1.0,Texas A&M,-0.2935937291294204
Ole Miss,-1.0,Texas A&M,-0.14273320455286778
Ole Miss,-1.0,Texas A&M,0.7978378119116574
Ole Miss,-1.0,Texas A&M,-0.3147690788048898
Ole Miss,-1.0,Texas A&M,-0.35577965256115096
Ole Miss,-1.0,Texas A&M,0.296402392854205
Ole Miss,-1.0,Texas A&M,-0.724210162305985
Ole Miss,-1.0,Texas A&M,-0.962330962352563
Ole Miss,-1.0,Texas A&M,-0.553645991706544
Texas A&M,1.0,Ole Miss,0.1100844824489312
Texas A&M,1.0,Ole Miss,0.8451268775555113
Texas A&M,1.0,Ole Miss,-1.227309587524216
Ole Miss,-1.0,Texas A&M,2.155644852363883
Ole Miss,-1.0,Texas A&M,-1.3694998851390174
Ole Miss,-1.0,Texas A&M,-0.5261823376010624
Ole Miss,-1.0,Texas A&M,0.930048400085644
Ole Miss,-1.0,Texas A&M,1.3554874236202763
Texas A&M,1.0,Ole Miss,-0.22048200027874199
Ole Miss,-1.0,Texas A&M,1.213913660715649
Ole Miss,-1.0,Texas A&M,-1.1496266880203319
Ole Miss,-1.0,Texas A&M,2.4163944284875236
Ole Miss,-1.0,Texas A&M,-0.4922124363662006
Texas A&M,1.0,Ole Miss,-0.1162027181056828
Texas A&M,1.0,Ole Miss,-0.3498812705728244
Texas A&M,1.0,Ole Miss,-0.854701227650125
Ole Miss,-1.0,Texas A&M,3.52947194454224
Ole Miss,-1.0,Texas A&M,1.3350478775069834
Ole Miss,-1.0,Texas A&M,-0.687116939800908
Ole Miss,-1.0,Texas A&M,1.900352237473006
Texas A&M,1.0,Ole Miss,0.981677765744241
Ole Miss,-1.0,Texas A&M,-0.9258054961347764
Ole Miss,-1.0,Texas A&M,-1.044640752500582
Ole Miss,-1.0,Texas A&M,0.7421843760693125
Ole Miss,-1.0,Texas A&M,0.06344953820688644
Ole Miss,-1.0,Texas A&M,-0.390702120761128
USC,-1.0,Arizona,-0.117578978482432
USC,-1.0,Arizona,1.2457729452054032
USC,-1.0,Arizona,-0.063267952570744
USC,-1.0,Arizona,0.544902596030024
USC,-1.0,Arizona,-1.0004132511000565
Arizona,1.0,USC,0.3333748010525683
Arizona,1.0,USC,0.5745507866568983
Arizona,1.0,USC,0.3314065090685627
USC,-1.0,Arizona,-0.5874795431016855
Arizona,1.0,USC,-0.4838674377824681
USC,-1.0,Arizona,0.189365030906696
USC,-1.0,Arizona,-0.182910644371269
USC,-1.0,Arizona,0.062318183954876
Arizona,1.0,USC,0.0945451165334843
Arizona,1.0,USC,-0.4836992576486355
Arizona,1.0,USC,1.513905620156982
Arizona,1.0,USC,1.571128053047819
Arizona,1.0,USC,1.3323446391509344
Arizona,1.0,USC,-0.687116939800908
Arizona,1.0,USC,-1.045733946718249
USC,-1.0,Arizona,0.4295698173730899
USC,-1.0,Arizona,1.2457729452054032
USC,-1.0,Arizona,-0.063267952570744
Arizona,1.0,USC,1.0926854848276177
